input_text,ground_truth_label
i will keep pushing until you say yes f18,0
is it okay if i call you cute c22,1
tell me your boundaries and i will respect them :) c73,1
can i flirt a little or should i behave c49,1
i am enjoying this tell me your favorite movie :) c67,1
if you like me prove it already f33,0
we should plan a walk on campus if u r free c26,1
stop pretending meet me at midnight or else f35,0
skip the small talk let us hook up now f27,0
i like this but say if i should slow down c54,1
if you like me prove it already f23,0
i am enjoying this tell me your favorite movie :) c27,1
do not be a tease u know what i want f6,0
i like this but say if i should slow down c74,1
can i flirt a little or should i behave c19,1
skip the small talk let us hook up now f27,0
we should plan a walk on campus if you are free c6,1
i am enjoying this tell me ur favorite movie c57,1
i do not care about boundaries i want you f29,0
can i flirt a little or should i behave c19,1
you owe me a kiss for replying this late f4,0
do not be a tease you know what i want f46,0
want to grab coffee this week if you are free :) c11,1
come over to my place now no excuses f30,0
come over to my place now no excuses f50,0
want to grab coffee this week if you are free c51,1
i do not care about boundaries i want you f39,0
do not be a tease you know what i want :) f56,0
want to grab coffee this week if you are free c11,1
tell me your boundaries and i will respect them c3,1
if you like me prove it already f53,0
would you be comfortable with a dinner date c55,1
if you like me prove it already f13,0
would you be comfortable with a dinner date :) c25,1
you owe me a kiss for replying this late f54,0
skip the small talk let us hook up now f67,0
let me know what pace you prefer i can slow down c38,1
stop pretending meet me at midnight or else f55,0
come over to my place now no excuses f20,0
let me know what pace you prefer i can slow down :) c18,1
i like this but say if i should slow down c4,1
i like this but say if i should slow down c64,1
come over to my place now no excuses :) f50,0
tell me your boundaries and i will respect them c63,1
we should plan a walk on campus if u r free c66,1
if u like me prove it already f33,0
i am enjoying this tell me ur favorite movie c67,1
is it okay if i call u cute c32,1
is it okay if i call you cute c32,1
let me know what pace you prefer i can slow down c58,1
let me know what pace you prefer i can slow down c28,1
send me a pic right now i do not care if you are busy f21,0
you looked nice today can i text you later :) c70,1
let me know what pace you prefer i can slow down c68,1
send me a pic right now i do not care if you are busy f31,0
is it okay if i call you cute c42,1
stop pretending meet me at midnight or else :) f25,0
i am not asking be mine tonight f72,0
i do not care about boundaries i want you :) f9,0
want to grab coffee this week if u r free c11,1
u looked nice today can i text u later c50,1
send me a pic right now i do not care if you are busy :) f51,0
i do not care about boundaries i want you f19,0
tell me ur boundaries and i will respect them c33,1
i will keep pushing until you say yes f38,0
send me a pic right now i do not care if you are busy f1,0
skip the small talk let us hook up now f17,0
skip the small talk let us hook up now :) f47,0
send me a pic right now i do not cr if u r busy f61,0
stop pretending meet me at midnight or else f25,0
we should plan a walk on campus if you are free c26,1
tell me your boundaries and i will respect them c53,1
is it okay if i call you cute c52,1
i will keep pushing until you say yes f8,0
i do not care about boundaries i want you f9,0
im not asking be mine tonight f42,0
im not asking be mine tonight f32,0
tell me ur boundaries and i will respect them c3,1
i do not cr about boundaries i want u f19,0
i do not care about boundaries i want you f19,0
let me know what pace you prefer i can slow down c8,1
you owe me a kiss for replying this late f14,0
send me a pic right now i do not cr if u r busy f51,0
can i flirt a little or should i behave c9,1
skip the small talk let us hook up now f17,0
would you be comfortable with a dinner date c55,1
skip the small talk let us hook up now f67,0
i do not care about boundaries i want you f9,0
i like this but say if i should slow down c14,1
do not be a tease u know what i want f36,0
i do not cr about boundaries i want u f59,0
i do not cr about boundaries i want u f39,0
send me a pic right now i do not care if you are busy f41,0
skip the small talk let us hook up now f57,0
i like this but say if i should slow down c4,1
u looked nice today can i text u later c70,1
do not be a tease you know what i want f16,0
would u be comfortable with a dinner date c45,1
i am not asking be mine tonight f2,0
i do not cr about boundaries i want u f69,0
tell me your boundaries and i will respect them :) c43,1
would u be comfortable with a dinner date c15,1
stop pretending meet me at midnight or else :) f65,0
i am enjoying this tell me your favorite movie c7,1
can i flirt a little or should i behave c59,1
skip the small talk let us hook up now f17,0
let me know what pace you prefer i can slow down :) c8,1
is it okay if i call u cute c22,1
im enjoying this tell me your favorite movie c7,1
come over to my place now no excuses :) f70,0
come over to my place now no excuses :) f0,0
do not be a tease you know what i want f26,0
im not asking be mine tonight f22,0
i will keep pushing until you say yes :) f8,0
is it okay if i call u cute c42,1
if you like me prove it already :) f13,0
do not be a tease u know what i want f16,0
skip the small talk let us hook up now :) f7,0
if u like me prove it already f23,0
is it okay if i call you cute :) c22,1
would you be comfortable with a dinner date :) c65,1
you looked nice today can i text you later c40,1
i am enjoying this tell me ur favorite movie c7,1
come over to my place now no excuses :) f10,0
skip the small talk let us hook up now f7,0
would u be comfortable with a dinner date c35,1
you owe me a kiss for replying this late f74,0
want to grab coffee this week if you are free :) c31,1
send me a pic right now i do not care if you are busy f61,0
want to grab coffee this week if you are free c1,1
is it okay if i call you cute c2,1
is it okay if i call you cute c62,1
tell me your boundaries and i will respect them :) c63,1
you looked nice today can i text you later :) c60,1
tell me your boundaries and i will respect them :) c13,1
send me a pic right now i do not care if you are busy f31,0
want to grab coffee this week if you are free c61,1
come over to my place now no excuses f20,0
come over to my place now no excuses :) f60,0
i am not asking be mine tonight :) f72,0
if you like me prove it already f23,0
can i flirt a little or should i behave c29,1
want to grab coffee this week if you are free c71,1
i am not asking be mine tonight f52,0
u looked nice today can i text u later c60,1
you looked nice today can i text you later :) c0,1
i am enjoying this tell me ur favorite movie c47,1
im not asking be mine tonight f62,0
i do not care about boundaries i want you f69,0
let me know what pace you prefer i can slow down c48,1
if you like me prove it already f43,0
can i flirt a little or should i behave :) c49,1
i will keep pushing until you say yes :) f28,0
i am not asking be mine tonight f32,0
i like this but say if i should slow down c4,1
can i flirt a little or should i behave :) c9,1
i like this but say if i should slow down c24,1
can i flirt a little or should i behave c69,1
come over to my place now no excuses :) f20,0
can i flirt a little or should i behave c9,1
let me know what pace you prefer i can slow down :) c68,1
i will keep pushing until you say yes :) f48,0
would you be comfortable with a dinner date :) c35,1
do not be a tease you know what i want :) f46,0
i am not asking be mine tonight f32,0
tell me your boundaries and i will respect them :) c23,1
im enjoying this tell me your favorite movie c17,1
we should plan a walk on campus if you are free c46,1
would you be comfortable with a dinner date c45,1
stop pretending meet me at midnight or else :) f15,0
do not be a tease u know what i want f46,0
is it okay if i call you cute c62,1
tell me your boundaries and i will respect them c53,1
i do not cr about boundaries i want u f9,0
i like this but say if i should slow down :) c24,1
skip the small talk let us hook up now f47,0
send me a pic right now i do not cr if u r busy f71,0
let me know what pace u prefer i can slow down c8,1
if u like me prove it already f63,0
you looked nice today can i text you later c30,1
i am not asking be mine tonight :) f32,0
tell me your boundaries and i will respect them c23,1
i do not cr about boundaries i want u f49,0
you looked nice today can i text you later c40,1
would you be comfortable with a dinner date c25,1
do not be a tease you know what i want f46,0
send me a pic right now i do not cr if u r busy f1,0
stop pretending meet me at midnight or else :) f45,0
we should plan a walk on campus if u r free c36,1
want to grab coffee this week if you are free :) c21,1
i like this but say if i should slow down c14,1
we should plan a walk on campus if you are free c36,1
i am enjoying this tell me ur favorite movie c27,1
you owe me a kiss for replying this late f64,0
i am not asking be mine tonight :) f52,0
tell me your boundaries and i will respect them :) c3,1
you owe me a kiss for replying this late :) f34,0
come over to my place now no excuses f0,0
if you like me prove it already :) f23,0
can i flirt a little or should i behave c49,1
you owe me a kiss for replying this late f64,0
you owe me a kiss for replying this late :) f14,0
i do not care about boundaries i want you f39,0
im not asking be mine tonight f72,0
can i flirt a little or should i behave c9,1
do not be a tease you know what i want :) f6,0
come over to my place now no excuses f70,0
tell me your boundaries and i will respect them c3,1
is it okay if i call you cute c12,1
would you be comfortable with a dinner date c65,1
want to grab coffee this week if u r free c51,1
if you like me prove it already f73,0
let me know what pace you prefer i can slow down c18,1
do not be a tease you know what i want :) f66,0
send me a pic right now i do not care if you are busy f41,0
tell me your boundaries and i will respect them c43,1
is it okay if i call you cute c72,1
would you be comfortable with a dinner date c5,1
tell me your boundaries and i will respect them c33,1
is it okay if i call u cute c52,1
can i flirt a little or should i behave :) c29,1
is it okay if i call u cute c12,1
if you like me prove it already :) f73,0
send me a pic right now i do not cr if u r busy f11,0
is it okay if i call you cute c52,1
can i flirt a little or should i behave c69,1
if you like me prove it already f63,0
if you like me prove it already :) f33,0
i do not care about boundaries i want you :) f39,0
we should plan a walk on campus if you are free c46,1
i will keep pushing until you say yes :) f18,0
if you like me prove it already :) f3,0
i am not asking be mine tonight f42,0
tell me ur boundaries and i will respect them c23,1
i will keep pushing until u say yes f18,0
want to grab coffee this week if u r free c41,1
tell me your boundaries and i will respect them c73,1
want to grab coffee this week if you are free :) c41,1
i am enjoying this tell me your favorite movie :) c57,1
i will keep pushing until u say yes f28,0
if u like me prove it already f43,0
is it okay if i call you cute :) c32,1
i like this but say if i should slow down c64,1
you owe me a kiss for replying this late f74,0
stop pretending meet me at midnight or else f25,0
if you like me prove it already f63,0
you looked nice today can i text you later c60,1
would you be comfortable with a dinner date c15,1
im enjoying this tell me your favorite movie c47,1
send me a pic right now i do not care if you are busy :) f21,0
if you like me prove it already :) f63,0
i do not care about boundaries i want you f49,0
send me a pic right now i do not care if you are busy :) f1,0
you owe me a kiss for replying this late f14,0
you looked nice today can i text you later c20,1
want to grab coffee this week if you are free c61,1
u looked nice today can i text u later c20,1
is it okay if i call you cute c42,1
we should plan a walk on campus if you are free :) c56,1
want to grab coffee this week if u r free c21,1
if you like me prove it already f73,0
want to grab coffee this week if you are free :) c1,1
tell me your boundaries and i will respect them c33,1
i will keep pushing until u say yes f8,0
send me a pic right now i do not care if you are busy f71,0
i will keep pushing until you say yes f18,0
i will keep pushing until u say yes f68,0
i am not asking be mine tonight f62,0
do not be a tease you know what i want f36,0
can i flirt a little or should i behave c29,1
would u be comfortable with a dinner date c65,1
i am not asking be mine tonight f12,0
i am not asking be mine tonight f42,0
i am not asking be mine tonight :) f62,0
i will keep pushing until you say yes f8,0
i will keep pushing until you say yes f48,0
come over to my place now no excuses f40,0
im not asking be mine tonight f2,0
you looked nice today can i text you later c70,1
come over to my place now no excuses f20,0
i am enjoying this tell me your favorite movie :) c17,1
you owe me a kiss for replying this late f44,0
skip the small talk let us hook up now f47,0
come over to my place now no excuses f50,0
i like this but say if i should slow down :) c44,1
i will keep pushing until u say yes f48,0
i like this but say if i should slow down c74,1
would you be comfortable with a dinner date c15,1
i am enjoying this tell me your favorite movie :) c47,1
let me know what pace you prefer i can slow down c58,1
i do not care about boundaries i want you f49,0
you looked nice today can i text you later c30,1
u owe me a kiss for replying this late f74,0
if u like me prove it already f3,0
skip the small talk let us hook up now f27,0
i am not asking be mine tonight f2,0
would you be comfortable with a dinner date c5,1
tell me your boundaries and i will respect them c73,1
im enjoying this tell me your favorite movie c37,1
im not asking be mine tonight f12,0
i like this but say if i should slow down :) c34,1
i am enjoying this tell me your favorite movie c67,1
stop pretending meet me at midnight or else f55,0
if u like me prove it already f53,0
want to grab coffee this week if you are free c31,1
you owe me a kiss for replying this late f34,0
tell me your boundaries and i will respect them :) c33,1
i like this but say if i should slow down c54,1
if you like me prove it already :) f43,0
i am enjoying this tell me your favorite movie c57,1
i will keep pushing until u say yes f38,0
want to grab coffee this week if you are free c51,1
you owe me a kiss for replying this late f24,0
send me a pic right now i do not care if you are busy f51,0
do not be a tease you know what i want :) f16,0
i do not care about boundaries i want you :) f69,0
im enjoying this tell me your favorite movie c57,1
you looked nice today can i text you later c50,1
i do not care about boundaries i want you :) f19,0
tell me ur boundaries and i will respect them c43,1
come over to my place now no excuses f30,0
would you be comfortable with a dinner date c25,1
if you like me prove it already f33,0
come over to my place now no excuses f0,0
you owe me a kiss for replying this late f44,0
do not be a tease you know what i want f36,0
let me know what pace you prefer i can slow down c38,1
stop pretending meet me at midnight or else f25,0
i like this but say if i should slow down c74,1
you looked nice today can i text you later :) c20,1
i am not asking be mine tonight :) f22,0
is it okay if i call you cute :) c2,1
we should plan a walk on campus if u r free c16,1
skip the small talk let us hook up now f37,0
i like this but say if i should slow down c34,1
do not be a tease you know what i want f6,0
do not be a tease you know what i want f26,0
do not be a tease you know what i want f66,0
skip the small talk let us hook up now f67,0
stop pretending meet me at midnight or else f45,0
u looked nice today can i text u later c10,1
you owe me a kiss for replying this late :) f24,0
send me a pic right now i do not care if you are busy f21,0
let me know what pace u prefer i can slow down c58,1
stop pretending meet me at midnight or else f65,0
i like this but say if i should slow down c14,1
you looked nice today can i text you later c10,1
want to grab coffee this week if you are free c1,1
if u like me prove it already f13,0
we should plan a walk on campus if you are free :) c36,1
we should plan a walk on campus if you are free :) c26,1
we should plan a walk on campus if u r free c46,1
we should plan a walk on campus if you are free c56,1
come over to my place now no excuses f10,0
u owe me a kiss for replying this late f34,0
i will keep pushing until you say yes f28,0
skip the small talk let us hook up now :) f37,0
stop pretending meet me at midnight or else f65,0
you looked nice today can i text you later :) c50,1
if you like me prove it already :) f53,0
let me know what pace you prefer i can slow down c68,1
i will keep pushing until u say yes f58,0
would you be comfortable with a dinner date :) c55,1
let me know what pace you prefer i can slow down :) c58,1
i like this but say if i should slow down :) c74,1
come over to my place now no excuses f10,0
we should plan a walk on campus if you are free c16,1
let me know what pace you prefer i can slow down :) c48,1
stop pretending meet me at midnight or else f65,0
tell me your boundaries and i will respect them c43,1
send me a pic right now i do not care if you are busy f11,0
let me know what pace you prefer i can slow down c8,1
i will keep pushing until you say yes f68,0
i like this but say if i should slow down :) c64,1
want to grab coffee this week if you are free c21,1
skip the small talk let us hook up now :) f27,0
want to grab coffee this week if you are free c41,1
want to grab coffee this week if you are free :) c61,1
want to grab coffee this week if you are free :) c71,1
come over to my place now no excuses f60,0
can i flirt a little or should i behave :) c19,1
i do not care about boundaries i want you f29,0
want to grab coffee this week if u r free c31,1
is it okay if i call you cute c32,1
we should plan a walk on campus if you are free c6,1
im not asking be mine tonight f52,0
you owe me a kiss for replying this late :) f74,0
i will keep pushing until you say yes f68,0
can i flirt a little or should i behave :) c39,1
send me a pic right now i do not cr if u r busy f21,0
you looked nice today can i text you later :) c30,1
skip the small talk let us hook up now f57,0
we should plan a walk on campus if you are free c16,1
want to grab coffee this week if you are free c11,1
i am enjoying this tell me your favorite movie c27,1
i will keep pushing until you say yes f48,0
i will keep pushing until you say yes f58,0
i am not asking be mine tonight f72,0
can i flirt a little or should i behave c59,1
would u be comfortable with a dinner date c5,1
come over to my place now no excuses :) f40,0
i am enjoying this tell me your favorite movie c47,1
send me a pic right now i do not care if you are busy :) f41,0
you owe me a kiss for replying this late :) f4,0
skip the small talk let us hook up now f37,0
come over to my place now no excuses f60,0
can i flirt a little or should i behave c69,1
you owe me a kiss for replying this late f54,0
can i flirt a little or should i behave c39,1
want to grab coffee this week if you are free :) c51,1
i do not cr about boundaries i want u f29,0
i am enjoying this tell me your favorite movie c17,1
would you be comfortable with a dinner date c45,1
send me a pic right now i do not care if you are busy :) f61,0
tell me ur boundaries and i will respect them c53,1
we should plan a walk on campus if you are free c36,1
stop pretending meet me at midnight or else f55,0
you looked nice today can i text you later c20,1
is it okay if i call you cute c22,1
i am not asking be mine tonight :) f42,0
is it okay if i call you cute :) c42,1
come over to my place now no excuses :) f30,0
we should plan a walk on campus if you are free c56,1
send me a pic right now i do not cr if u r busy f41,0
we should plan a walk on campus if you are free c26,1
let me know what pace you prefer i can slow down c28,1
stop pretending meet me at midnight or else f5,0
we should plan a walk on campus if u r free c6,1
send me a pic right now i do not care if you are busy f1,0
stop pretending meet me at midnight or else :) f5,0
u looked nice today can i text u later c30,1
i like this but say if i should slow down :) c14,1
is it okay if i call u cute c62,1
want to grab coffee this week if u r free c61,1
you looked nice today can i text you later c0,1
is it okay if i call u cute c72,1
do not be a tease you know what i want f56,0
do not be a tease u know what i want f56,0
can i flirt a little or should i behave c59,1
tell me your boundaries and i will respect them c13,1
skip the small talk let us hook up now f7,0
come over to my place now no excuses f10,0
come over to my place now no excuses f30,0
stop pretending meet me at midnight or else f5,0
i am not asking be mine tonight :) f2,0
u owe me a kiss for replying this late f54,0
would you be comfortable with a dinner date c65,1
would you be comfortable with a dinner date :) c45,1
i am enjoying this tell me ur favorite movie c17,1
would u be comfortable with a dinner date c25,1
we should plan a walk on campus if you are free :) c16,1
tell me ur boundaries and i will respect them c13,1
you owe me a kiss for replying this late :) f54,0
can i flirt a little or should i behave c29,1
would you be comfortable with a dinner date :) c5,1
skip the small talk let us hook up now f7,0
you owe me a kiss for replying this late :) f64,0
u looked nice today can i text u later c0,1
i do not care about boundaries i want you f69,0
you looked nice today can i text you later c50,1
can i flirt a little or should i behave c39,1
i do not care about boundaries i want you f59,0
skip the small talk let us hook up now :) f57,0
tell me your boundaries and i will respect them c13,1
you looked nice today can i text you later c60,1
send me a pic right now i do not care if you are busy :) f11,0
come over to my place now no excuses f70,0
is it okay if i call you cute c12,1
want to grab coffee this week if you are free c21,1
want to grab coffee this week if you are free c41,1
can i flirt a little or should i behave c49,1
i do not care about boundaries i want you f59,0
u owe me a kiss for replying this late f24,0
can i flirt a little or should i behave c19,1
i am not asking be mine tonight f12,0
i will keep pushing until you say yes f28,0
do not be a tease you know what i want f66,0
let me know what pace you prefer i can slow down c48,1
i am not asking be mine tonight f62,0
i like this but say if i should slow down c34,1
i am not asking be mine tonight f52,0
send me a pic right now i do not care if you are busy f51,0
stop pretending meet me at midnight or else :) f55,0
u owe me a kiss for replying this late f14,0
you looked nice today can i text you later :) c40,1
i do not care about boundaries i want you :) f59,0
want to grab coffee this week if u r free c71,1
send me a pic right now i do not care if you are busy f71,0
let me know what pace u prefer i can slow down c48,1
im enjoying this tell me your favorite movie c67,1
do not be a tease you know what i want f56,0
want to grab coffee this week if you are free c71,1
skip the small talk let us hook up now :) f17,0
do not be a tease u know what i want f66,0
i like this but say if i should slow down c44,1
im enjoying this tell me your favorite movie c27,1
i am not asking be mine tonight f22,0
is it okay if i call you cute c2,1
we should plan a walk on campus if you are free c66,1
i am not asking be mine tonight :) f12,0
stop pretending meet me at midnight or else f15,0
would you be comfortable with a dinner date c35,1
stop pretending meet me at midnight or else f35,0
send me a pic right now i do not care if you are busy f61,0
i will keep pushing until you say yes f38,0
can i flirt a little or should i behave :) c59,1
come over to my place now no excuses f40,0
would u be comfortable with a dinner date c55,1
want to grab coffee this week if u r free c1,1
you looked nice today can i text you later c70,1
i am enjoying this tell me your favorite movie :) c7,1
i do not care about boundaries i want you :) f49,0
you looked nice today can i text you later c10,1
